#YY;MM;DD;hh;mm;WDI;R WSP;D GST;WVHT;DPD;APD;MWD;PRES;ATMP;WTMP;DEWP;VIS;TIDE
#yr;mo;dy;hr;mn;deg;T m/s;m/s;m;sec;sec;deg;T   hPa;degC;degC;degC;mi;ft
2012;1;10;0;50;335;4.8;5.8;3.11;17.39;12.98;308;1021.9;11.8;12.4;999;99;99
2012;1;10;1;50;330;5.3;6.6;2.7;17.39;11.66;302;1021.9;11.6;12.3;999;99;99
2012;1;10;2;50;348;3.9;4.9;4.54;16;13.94;299;1021.8;11.6;12.2;999;99;99
2012;1;10;3;50;351;3.4;4.3;3.92;17.39;13.56;306;1021.7;11.5;12.1;999;99;99
2012;1;10;4;50;339;2.4;3.9;3.57;17.39;13.1;295;1021.6;11.5;12.2;999;99;99
2012;1;10;5;50;309;1.3;2.7;3.89;16;12.87;305;1021.7;11.6;12.2;999;99;99
2012;1;10;6;50;321;3.3;4.6;3.3;17.39;12.24;281;1021.7;11.1;12.2;999;99;99
2012;1;10;7;50;329;4.2;5.4;3.36;14.81;11.9;296;1021.5;11.3;12.2;999;99;99
2012;1;10;8;50;310;5;6.6;3.1;16;11.84;289;1021.9;9.8;12.1;999;99;99
2012;1;10;9;50;320;4.4;6;3.28;17.39;12.09;296;1022;9.7;12.1;999;99;99
2012;1;10;10;50;320;5.4;6.9;3.05;16;11.66;288;1021.9;10.5;12.1;999;99;99
2012;1;10;11;50;327;5.6;6.8;2.79;14.81;11.01;312;1021.5;10.3;12.1;999;99;99
2012;1;10;12;50;341;5.5;7;2.82;16;10.58;299;1021.1;9.4;12;999;99;99
2012;1;10;13;50;342;5.3;6.4;2.65;16;10.02;312;1021;8.7;12;999;99;99
2012;1;10;14;50;26;3.4;5;2.78;16;10.09;301;1020.6;8.6;11.9;999;99;99
2012;1;10;15;50;353;1.8;2.9;2.81;16;10.76;298;1020.9;9.1;11.9;999;99;99
2012;1;10;16;50;58;1.4;2.4;2.89;14.81;10.84;293;1020.8;10.3;11.9;999;99;99
2012;1;10;17;50;225;1.2;2.1;3.32;16;11.63;292;1021.4;10.7;12;999;99;99
2012;1;10;18;50;281;4.8;6.3;2.71;14.81;10.86;293;1021.6;10.2;12.1;999;99;99
2012;1;10;19;50;246;3.5;4.6;2.77;14.81;10.64;283;1021;10.2;12.1;999;99;99
2012;1;10;20;50;352;0.9;1.9;2.88;14.81;10.87;292;1020.2;11.4;12.2;999;99;99
2012;1;10;21;50;76;1.5;2.6;2.7;14.81;10.94;285;1019.2;11.5;12.4;999;99;99
2012;1;10;22;50;125;1.7;2.8;2.6;13.79;10.61;289;1019.1;11.7;12.5;999;99;99
2012;1;10;23;50;22;0.2;1.2;2.68;14.81;11.04;304;1019.3;12.3;12.5;999;99;99
2012;1;11;0;50;253;2;3;2.42;14.81;10.66;294;1019.7;11.6;12.5;999;99;99
2012;1;11;1;50;349;3.7;5.2;2.36;13.79;10.5;296;1020.2;11.5;12.4;999;99;99
2012;1;11;2;50;35;1.9;2.6;2.31;13.79;10.13;298;1020.1;11.2;12.2;999;99;99
2012;1;11;3;50;56;1.6;2.4;2.88;14.81;10.9;286;1019.9;11.2;12.1;999;99;99
2012;1;11;4;50;141;1.4;2.7;2.68;13.79;10.68;296;1019.7;11.3;12.1;999;99;99
2012;1;11;5;50;19;0.9;1.6;2.2;14.81;10.16;289;1019.7;11.2;12.1;999;99;99
2012;1;11;6;50;131;0.4;1.4;2.24;14.81;9.62;303;1020;11.1;12.1;999;99;99
2012;1;11;7;50;221;1.2;1.7;2.77;14.81;10.1;282;1020;11.1;12;999;99;99
2012;1;11;8;50;170;1;2.2;2.54;10;9.3;311;1019.4;10.9;12;999;99;99
